File Name,Mean (V),Median (V),Min (V),Max (V),Std Dev (V)
C2_BG_13.bin,-0.27466518634016823,0.0,-97.65625,82.03125,12.509197018811776
C2_BG_18.bin,-0.18480458755114582,0.0,-109.375,82.03125,12.746565549064304
C2_BG_12.bin,-0.34030506490537327,0.0,-101.5625,101.5625,13.036667152684645
C2_BG_15.bin,-0.34617213765483756,0.0,-101.5625,97.65625,12.785025858587188
C2_BG_16.bin,-0.31968866038181937,0.0,-101.5625,105.46875,12.848968469251265
C2_BG_17.bin,-0.3704858371911049,0.0,-101.5625,109.375,12.779764227556296
C2_BG_24.bin,-0.17092566715578889,0.0,-58.59375,54.6875,12.25812048080501
C2_BG_2.bin,-0.2500682515033708,0.0,-70.3125,58.59375,13.296889539071364
C2_BG_23.bin,-0.17092566715578889,0.0,-58.59375,54.6875,12.25812048080501
C2_BG_22.bin,-0.25869774743910906,0.0,-58.59375,54.6875,12.19869571221047
C2_BG_20.bin,-0.1800993655379251,0.0,-58.59375,54.6875,12.511488576320472
C2_BG_25.bin,-0.22259794337636757,0.0,-58.59375,54.6875,12.701904909011368
C2_BG_21.bin,-0.14985452347386663,0.0,-58.59375,58.59375,12.258365556211135
C2_BG_19.bin,-0.3262386232075964,0.0,-117.1875,93.75,12.779637245760306
C2_BG_26.bin,-0.15683578529520953,0.0,-97.65625,97.65625,12.984937443261863
C2_BG_27.bin,-0.08131939413317353,0.0,-101.5625,82.03125,11.852727224437366
C2_BG_30.bin,-0.23367888967186673,0.0,-105.46875,97.65625,11.622531580627447
C2_BG_29.bin,-0.3647308865537125,0.0,-105.46875,78.125,12.889410807950005
C2_BG_28.bin,-0.23268033873648047,0.0,-82.03125,85.9375,12.175519658582974
C2_BG_3.bin,-0.4214580338826491,0.0,-70.3125,54.6875,13.533518313059092
C2_BG_4.bin,-0.13736013536137706,0.0,-58.59375,54.6875,12.094328608659957
C2_BG_5.bin,-0.0300467726883774,0.0,-62.5,58.59375,12.323599803645587
C2_BG_6.bin,-0.21869984430231273,0.0,-58.59375,54.6875,11.84491867869668
C2_BG_7.bin,-0.25231655378551004,0.0,-89.84375,85.9375,13.300977899626073
C2_BG_8.bin,-0.20666800873579239,0.0,-105.46875,82.03125,13.005674239594434
C2_BG_9.bin,-0.3050678588337635,0.0,-113.28125,109.375,13.272124165570464
C3_1LGCC_1.bin,-3.0243502068084935,-3.90625,-113.28125,117.1875,18.0322241816599
C3_1LGCC_11.bin,-2.90159173019555,-3.90625,-117.1875,97.65625,16.032965734707243
C3_1LGCC_10.bin,-2.7665099786585756,-3.90625,-140.625,167.96875,15.563584950172924
C3_1LGCC_12.bin,-2.6012224519955467,-3.90625,-105.46875,93.75,15.930930446134997
C3_1LGCC_13.bin,-2.8089929297218164,-3.90625,-171.875,140.625,15.859038703588691
C3_1LGCC_15.bin,-3.068643910448227,-3.90625,-199.21875,187.5,15.985671062742076
C3_1LGCC_14.bin,-2.730587538494373,-3.90625,-117.1875,109.375,15.97128955524226
C3_1LGCC_19.bin,-3.0558502695906253,-3.90625,-156.25,156.25,18.936663213992304
C3_1LGCC_16.bin,-2.531827068680002,-3.90625,-113.28125,97.65625,16.925876356888033
C3_1LGCC_17.bin,-3.2446310900918345,-3.90625,-105.46875,105.46875,18.792230723446554
C3_1LGCC_18.bin,-2.696953248889074,-3.90625,-93.75,85.9375,19.177711936283213
C3_1LGCC_20.bin,-2.874687111330847,-3.90625,-85.9375,82.03125,19.594434877717443
C3_1LGCC_2.bin,-2.8591943357265386,-3.90625,-261.71875,218.75,17.743249427946118
C3_1LGCC_22.bin,-2.9796666151274787,-3.90625,-132.8125,117.1875,17.281689748775527
C3_1LGCC_21.bin,-2.6043942966921043,-3.90625,-89.84375,117.1875,19.897122548059784
C3_1LGCC_23.bin,-2.9066575400465493,-3.90625,-82.03125,74.21875,17.47658936806966
C3_1LGCC_26.bin,-2.660154927974818,-3.90625,-78.125,74.21875,16.900059786409095
C3_1LGCC_25.bin,-2.8921129190276016,-3.90625,-121.09375,117.1875,16.146996193855397
C3_1LGCC_28.bin,-2.8026898699442255,-3.90625,-74.21875,74.21875,16.401428330578604
C3_1LGCC_27.bin,-2.660154927974818,-3.90625,-78.125,74.21875,16.900059786409095
C3_1LGCC_24.bin,-2.977499962745768,-3.90625,-167.96875,191.40625,17.251851121334788
C3_1LGCC_3.bin,-2.6081373000222827,-3.90625,-160.15625,156.25,18.2806944014366
C3_1LGCC_29.bin,-2.787796771838281,-3.90625,-85.9375,85.9375,19.397229609714643
C3_1LGCC_30.bin,-2.7212060040020547,-3.90625,-156.25,144.53125,19.84494225133952
C3_1LGCC_4.bin,-2.8317060568080534,-3.90625,-125.0,136.71875,17.97312903070374
C3_1LGCC_6.bin,-2.8949976217298286,-3.90625,-132.8125,121.09375,16.814461228070996
C3_1LGCC_8.bin,-2.9708777260846833,-3.90625,-78.125,78.125,16.670864377607884
C3_1LGCC_7.bin,-2.86399761575415,-3.90625,-121.09375,132.8125,17.072511143829843
C3_1LGCC_5.bin,-2.866179894911062,-3.90625,-128.90625,105.46875,16.578378127560374
C3_1LGCC_9.bin,-3.0375743653229006,-3.90625,-101.5625,105.46875,17.746228501043948
C3_1LGS_1.bin,-2.4739626827857646,-3.90625,-109.375,109.375,5.096283496237548
C3_1LGS_14.bin,-2.58931797464692,-3.90625,-93.75,85.9375,4.939714284409546
C3_1LGS_10.bin,-2.4771775011141264,-3.90625,-125.0,136.71875,5.060607537696576
C3_1LGS_11.bin,-2.458003447941686,-3.90625,-156.25,148.4375,5.071803352344884
C3_1LGS_12.bin,-2.3098463829241003,-3.90625,-148.4375,148.4375,5.073832833692792
C3_1LGS_15.bin,-2.5389915544405843,-3.90625,-160.15625,113.28125,4.961327276000272
C3_1LGS_16.bin,-2.5389915544405843,-3.90625,-160.15625,113.28125,4.961327276000272
C3_1LGS_13.bin,-2.414756738240464,-3.90625,-152.34375,152.34375,5.075351685932816
C3_1LGS_17.bin,-2.382607382948703,-3.90625,-62.5,54.6875,4.970479034130686
C3_1LGS_18.bin,-2.333536183460441,-3.90625,-125.0,97.65625,4.97276992032687
C3_1LGS_20.bin,-2.45691035501633,-3.90625,-89.84375,89.84375,5.014226976650976
C3_1LGS_2.bin,-2.4706709025895344,-3.90625,-121.09375,136.71875,5.125661407509906
C3_1LGS_21.bin,-2.5121596000805693,-3.90625,-101.5625,82.03125,4.979451845103711
C3_1LGS_23.bin,-2.512007629691733,-3.90625,-105.46875,74.21875,4.96879234123585
C3_1LGS_19.bin,-2.292505350482815,-3.90625,-78.125,58.59375,4.983903856612752
C3_1LGS_22.bin,-2.386158958282661,-3.90625,-136.71875,113.28125,4.969764335516348
C3_1LGS_25.bin,-2.524180106235068,-3.90625,-89.84375,85.9375,5.100870017872175
C3_1LGS_24.bin,-2.517984089867609,-3.90625,-140.625,109.375,5.00449220889532
C3_1LGS_27.bin,-2.462032030588675,-3.90625,-85.9375,78.125,4.983181047382329
C3_1LGS_28.bin,-2.525352895713953,-3.90625,-85.9375,74.21875,4.963400940329993
C3_1LGS_26.bin,-2.4130006793771774,-3.90625,-105.46875,74.21875,5.159242470319156
C3_1LGS_29.bin,-2.401645092507509,-3.90625,-148.4375,109.375,5.003262741422303
C3_1LGS_3.bin,-2.508192352526247,-3.90625,-175.78125,156.25,5.145648712208041
C3_1LGS_30.bin,-2.3788550035534035,-3.90625,-85.9375,93.75,4.998735248424833
C3_1LGS_4.bin,-2.4827902480971837,-3.90625,-187.5,179.6875,5.13325401291173
C3_1LGS_6.bin,-2.5510210459908245,-3.90625,-148.4375,148.4375,5.1209586375147955
C3_1LGS_7.bin,-2.721342738285069,-3.90625,-148.4375,117.1875,5.078699778323144
C3_2CC_1.bin,-1.4683378969350918,0.0,-433.59375,363.28125,25.98205703649582
C3_1LGS_5.bin,-2.4779814986982522,-3.90625,-152.34375,152.34375,5.118846999038209
C3_1LGS_9.bin,-2.3530852792377215,-3.90625,-199.21875,152.34375,5.090507191777969
C3_2CC_10.bin,-1.4561962832727797,0.0,-425.78125,328.125,25.687491918327353
C3_1LGS_8.bin,-2.5188646586502226,-3.90625,-218.75,214.84375,5.068743914202446
C3_2CC_11.bin,-1.3161088849693325,0.0,-273.4375,238.28125,26.001296039114276
C3_2CC_12.bin,-1.347642154648768,0.0,-410.15625,425.78125,25.961181224892275
C3_2CC_13.bin,-1.503850915589011,0.0,-359.375,351.5625,26.000472892828128
C3_2CC_16.bin,-1.3913721223731015,0.0,-406.25,375.0,26.620245000956842
C3_2CC_15.bin,-1.2740482475059167,0.0,-500.0,359.375,25.81246802705949
C3_2CC_14.bin,-1.7334301207867213,0.0,-312.5,296.875,26.052277171717844
C3_2CC_17.bin,-1.5193339244588184,0.0,-359.375,320.3125,25.929415461847686
